,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
0,Brasil,29/02/2020,9,211755691.6839929,2,0,2,0,0.0009444846483676286,0.0,0.0,0.0009444846483676286,0.0,0.0,0.0,2,0,0.0009444846483676286,0.0
1,Brasil,07/03/2020,10,211755691.6839929,19,0,17,0,0.008972604159492472,0.0,0.0,0.008028119511124842,0.0,8.5,0.0,17,0,0.008028119511124842,0.0
2,Brasil,14/03/2020,11,211755691.6839929,136,0,117,0,0.06422495608899874,0.0,0.0,0.055252351929506276,0.0,6.882352941176471,0.0,45,0,0.021408318696332918,0.0
3,Brasil,21/03/2020,12,211755691.6839929,1132,18,996,18,0.5345783109760778,0.008500361835308657,1.5901060070671376,0.470353354887079,0.008500361835308657,8.512820512820513,0.0,376,6,0.1778779421092367,0.002833453945102886
4,Brasil,28/03/2020,13,211755691.6839929,3953,115,2821,97,1.8667739074986178,0.05430786728113864,2.9091828990640023,1.33219559652254,0.04580750544582999,2.8323293172690764,5.388888888888889,1311,38,0.6192671011130418,0.018102622427046217
5,Brasil,04/04/2020,14,211755691.6839929,10381,445,6428,330,4.902347567352177,0.21014783426179737,4.286677584047779,3.0355736598535583,0.15583996698065872,2.2786246012052462,3.402061855670103,3415,148,1.6127075370877257,0.07004927808726578
6,Brasil,11/04/2020,15,211755691.6839929,20991,1141,10610,696,9.912838626942445,0.538828491893732,5.435662903148969,5.01049105959027,0.32868065763193477,1.6505911636589918,2.109090909090909,6619,374,3.1260867719887897,0.17677604335280783
7,Brasil,18/04/2020,16,211755691.6839929,37175,2375,16184,1234,17.555608401533295,1.121575519936559,6.388702084734364,7.6427697745908505,0.5827470280428269,1.525353440150801,1.7729885057471264,11074,753,5.229611498011559,0.35575588421847343
8,Brasil,25/04/2020,17,211755691.6839929,59506,4074,22331,1699,28.101251742882052,1.9239152287248595,6.846368433435283,10.545643341348757,0.8023397087883005,1.379819574888779,1.3768233387358184,16375,1209,7.732968058509958,0.5712557981543541
9,Brasil,02/05/2020,18,211755691.6839929,97579,6810,38073,2736,46.08093375153241,3.215970227691775,6.97896063702231,17.97968200865036,1.292054998966916,1.7049393220187183,1.6103590347263097,25529,1889,12.056031708196656,0.8923805785993478
10,Brasil,09/05/2020,19,211755691.6839929,157248,10695,59669,3885,74.25916099325643,5.050631657145894,6.8013583638583635,28.178227241724016,1.8346614294541186,1.5672261182465264,1.4199561403508771,40024,2773,18.901184197241044,1.3096853790697784
11,Brasil,16/05/2020,20,211755691.6839929,234678,15702,77430,5007,110.82488415480917,7.415148974334252,6.69087004320814,36.56572316155274,2.364517317188358,1.2976587507751094,1.2888030888030888,58390,3876,27.574544137309037,1.830411248536464
12,Brasil,23/05/2020,21,211755691.6839929,351561,22196,116883,6494,166.02198373238593,10.481890627583942,6.313555826727082,55.197099577576765,3.06674165324969,1.5095311894614492,1.2969842220890753,84660,5128,39.98034999361784,2.4219734666307224
13,Brasil,30/05/2020,22,211755691.6839929,502913,28895,151352,6699,237.4968039822546,13.645441957291315,5.745526562248341,71.47482024986866,3.163551329707372,1.2949017393461837,1.0315676008623345,115221,6066,54.412547662999394,2.86493676671514
14,Brasil,06/06/2020,23,211755691.6839929,676893,36054,173980,7159,319.6575235437546,17.02622475612324,5.326395752356724,82.16071956150002,3.3807827988319263,1.1495057878323378,1.0686669652186893,147405,6784,69.61087979631515,3.2036919272629962
15,Brasil,13/06/2020,24,211755691.6839929,851779,42792,174886,6738,402.2460946509652,20.208193536473782,5.023838343044381,82.58857110721054,3.1819687803505405,1.005207495114381,0.9411929040368766,166739,6865,78.74137030619308,3.2421009696299463
16,Brasil,20/06/2020,25,211755691.6839929,1071337,50100,219558,7308,505.9306748641151,23.659340441609096,4.676399676292334,103.6845802131499,3.4511469051353147,1.2554349690655626,1.0845948352626893,189474,7068,89.47795696062015,3.3379661614392604
17,Brasil,27/06/2020,26,211755691.6839929,1318551,57159,247214,7059,622.6755887948925,26.99289900802264,4.33498590498206,116.74491393077747,3.333558566413545,1.12596216034032,0.965927750410509,213886,7035,101.0060217503793,3.3222247506331333
18,Brasil,04/07/2020,27,211755691.6839929,1580041,64410,261490,7251,746.1622341457181,30.417128100679477,4.076476496495976,123.4866453508256,3.4242290926568373,1.057747538569822,1.0271993200169995,242754,7206,114.63871316491766,3.402978188068566
19,Brasil,11/07/2020,28,211755691.6839929,1844313,71578,264272,7168,870.9626576424231,33.80216108042906,3.8810115202788245,124.80042349670497,3.385032979749581,1.010639030173238,0.9885533029926906,257658,7159,121.67732759276934,3.3809402129399877
20,Brasil,18/07/2020,29,211755691.6839929,2077955,78870,233642,7292,981.2982987493779,37.24575210837743,3.795558614118207,110.33564110695474,3.443591027948374,0.88409668826058,1.0172991071428572,253134,7237,119.54090331816177,3.4176177001182637
21,Brasil,25/07/2020,30,211755691.6839929,2398993,86536,321038,7666,1132.906030020701,40.86596176557055,3.607180179350252,151.60773127132336,3.6202096571931204,1.374059458487772,1.051289083927592,272984,7375,128.91459862499437,3.482944554963692
22,Brasil,01/08/2020,31,211755691.6839929,2711992,93668,312999,7132,1280.7174052479108,44.233994021649515,3.4538449965929106,147.81137522720968,3.3680322560789637,0.9749593506064702,0.9303417688494652,289226,7363,136.58491586849593,3.477277647073486
23,Brasil,08/08/2020,32,211755691.6839929,3018397,100648,306405,6980,1425.4148145894526,47.53024544445254,3.334485158844248,144.69740934154163,3.296251422803024,0.9789328400410225,0.978687605159843,313480,7259,148.03883861335822,3.4281644453583695
24,Brasil,15/08/2020,33,211755691.6839929,3320108,107364,301711,6716,1567.8955184612753,50.70182489367104,3.233750227402241,142.48070387182278,3.171579449218497,0.9846804066513275,0.9621776504297994,307038,6942,144.99649614685805,3.2786210427001614
25,Brasil,22/08/2020,34,211755691.6839929,3586586,114378,266478,7014,1693.7377085251298,54.01413255549631,3.1890494191412113,125.84219006385446,3.3123076618252734,0.883222686610697,1.0443716497915425,291531,6903,137.67343442573963,3.2600461779489316
26,Brasil,29/08/2020,35,211755691.6839929,3850070,120570,263484,6192,1818.1660050703779,56.93825702684249,3.1316313729360763,124.42829654524813,2.924124471346178,0.9887645509197758,0.8828058169375534,277224,6640,130.9170634936418,3.136003860796649
27,Brasil,05/09/2020,36,211755691.6839929,4125816,126292,275746,5722,1948.384936994768,59.640427605822275,3.061018717267081,130.21893192439006,2.702170578979785,1.0465379301969,0.9240956072351422,268569,6309,126.82980617783089,2.9795342373837457
28,Brasil,12/09/2020,37,211755691.6839929,4318971,131341,193155,5049,2039.6009031224926,62.024779100626354,3.0410252812533356,91.21596612772466,2.3843514948040783,0.7004816026343084,0.8823837818944426,244128,5654,115.28773153245429,2.670215515043347
29,Brasil,19/09/2020,38,211755691.6839929,4531145,136626,212174,5285,2139.798446013869,64.5205797839378,3.015264353711921,100.19754289137661,2.4958006833114585,1.0984649633713857,1.0467419290948703,227025,5352,107.21081364783045,2.527440919031774
30,Brasil,26/09/2020,39,211755691.6839929,4720957,141508,189812,4882,2229.4357060518473,66.8260668106032,2.99744310316743,89.63726003797815,2.3054870266653813,0.8946053710633726,0.9237464522232735,198380,5072,93.68358968569315,2.3952130682603063
31,Brasil,03/10/2020,40,211755691.6839929,4908974,146093,188017,4585,2318.2252911179157,68.99129786698599,2.9760393923455286,88.78958506606821,2.1652310563827886,0.9905432743978252,0.939164276935682,196667,4917,92.87479599847433,2.322172922119876
32,Brasil,10/10/2020,41,211755691.6839929,5084513,150302,175539,4209,2401.1222364628184,70.97896580947565,2.956074652577346,82.89694534490258,1.9876679424896744,0.9336336607859927,0.9179934569247546,184456,4558,87.10793014964965,2.152795341845948
33,Brasil,17/10/2020,42,211755691.6839929,5226341,153756,141828,3454,2468.09942081716,72.61009079720655,2.9419435126793294,66.97718435434201,1.6311249877308946,0.8079572060909541,0.8206224756474222,168461,4082,79.5545715884376,1.9280079955344525
34,Brasil,24/10/2020,43,211755691.6839929,5384340,156991,157999,3235,2542.7132357958785,74.13779471594118,2.9156962598944345,74.61381497871848,1.5277039187346393,1.1140183884705417,0.9365952518818761,158455,3632,74.82931489265435,1.715498949651736
35,Brasil,31/10/2020,44,211755691.6839929,5537763,159972,153423,2981,2615.166069899132,75.54554908433315,2.8887476766340487,72.45283410325334,1.4077543683919505,0.9710377913784265,0.921483771251932,151083,3223,71.34794447877128,1.5221944249524946
36,Brasil,07/11/2020,45,211755691.6839929,5655887,162348,118124,2376,2670.949222201021,76.66759684659388,2.8704250986626856,55.78315230188888,1.1220477622607428,0.7699236750682753,0.7970479704797048,143182,2864,67.61660046128691,1.3525020164624442
37,Brasil,14/11/2020,46,211755691.6839929,5851389,165739,195502,3391,2763.273541063605,78.26897056790119,2.832472768431564,92.32431886258406,1.6013737213073143,1.6550573973113,1.4271885521885521,155683,2916,73.52010175590875,1.3770586173200023
38,Brasil,21/11/2020,47,211755691.6839929,6056135,169088,204746,3349,2859.9632679709443,79.8505101115928,2.7920117368585737,96.68972690733924,1.581539543691594,1.0472834037503453,0.9876142730757889,172790,3038,81.5990660239374,1.4349870090865504
39,Brasil,28/11/2020,48,211755691.6839929,6297258,172684,241123,3596,2973.831753905118,81.54869350935779,2.7422093870062176,113.86848593417385,1.6981833977649963,1.1776689166088714,1.073753359211705,213790,3445,100.9608439013657,1.6270322209213015
40,Brasil,05/12/2020,49,211755691.6839929,6580517,176718,283259,4034,3107.598642411101,83.45371904511529,2.6854728891362183,133.76688850598305,1.9050255357575068,1.174748987031515,1.1218020022246942,243042,3659,114.77503378249871,1.7282494924046992
41,Brasil,12/12/2020,50,211755691.6839929,6884782,181241,304265,4523,3251.2854531788894,85.58967107739869,2.6324871288589824,143.68681076778824,2.135952032283392,1.0741582791720652,1.1212196331184927,276215,4051,130.44072840264838,1.9130536552686317
42,Brasil,19/12/2020,51,211755691.6839929,7218141,186461,333359,5220,3408.7116821264813,88.0547760096382,2.5832274542711207,157.42622894759214,2.4651049322395107,1.0956205938901944,1.154101260225514,306961,4592,144.95997607378783,2.1686941667601363
43,Brasil,26/12/2020,52,211755691.6839929,7469541,190913,251400,4452,3527.4334024262926,90.15719883690454,2.5558866334624843,118.72172029981091,2.1024228272663414,0.7541419310713076,0.8528735632183908,296341,4731,139.94492000506378,2.234493263929748
44,Brasil,02/01/2021,53,211755691.6839929,7719324,195834,249783,4921,3645.3915068878982,92.48110331421309,2.5369319904178136,117.95810446160569,2.32390447730855,0.9935680190930788,1.1053459119496856,278180,4864,131.36868456966957,2.297144078938134
45,Brasil,09/01/2021,54,211755691.6839929,8081091,202769,361767,6935,3816.233195780904,95.75610383242784,2.5091785255233483,170.84168889300594,3.275000518214752,1.4483251462269249,1.4092664092664093,287650,5436,135.84050455147417,2.5671092742632147
46,Brasil,16/01/2021,55,211755691.6839929,8460987,209442,379896,6673,3995.636165769038,98.90737686170644,2.475384963952787,179.40296998813432,3.1512730292785927,1.050112365141099,0.9622206200432588,330482,6176,156.06758778091532,2.9167260082672986
47,Brasil,23/01/2021,56,211755691.6839929,8821815,216587,360828,7145,4166.0344191196355,102.28154826799978,2.455129698367059,170.39825335059734,3.374171406293353,0.9498073156863984,1.0707328038363555,367497,6917,173.54763741057923,3.266814984595566
48,Brasil,30/01/2021,57,211755691.6839929,9180621,224079,358806,7492,4335.477798490733,105.81958776078493,2.4407826006541384,169.44337937109768,3.5380394927851366,0.9943962220226812,1.0485654303708887,366510,7103,173.08153423660977,3.3544946427856943
49,Brasil,06/02/2021,58,211755691.6839929,9502810,231195,322189,7116,4487.629080677192,109.18006413967694,2.432911949202394,152.15128218645896,3.3604763788920224,0.8979476374419603,0.9498131340096102,347274,7251,163.99763830271797,3.4242290926568373
